HB1,HB2,HB3,HB4,,
p1r+p1l,p1r+p2r,p3,p1+p2,p3,p4
,,p4,p2 +p3,p1,p4
p2r+p2l,p1r+p3r,p2,p3+p4,p1,p2
,,p4,,,
p3r+p3l,p1r+p4r,p2,,,
,,p3,,,
p4r+p3l,p1l+p2r,p3,,,
,,p4,,,
,p1l+p3r,p2,,,
,,p4,,,
,p1l+p4r,p3,,,
,,p2,,,
,p1r+p2l,p3,,,
,,p4,,,
,p1r+p3l,p2,,,
,,p4,,,
,p1r+p4l,p2,,,
,,p3,,,
,p1l+p2l,p3,,,
,,p4,,,
,p1l+p3l,p2,,,
,,p4,,,
,p1l+p4l,p3,,,
,,p2,,,
,p2r+p3r,p1,,,
,,p4,,,
,p2r+p4r,,,,
,,,,,
,p2r+p3l,,,,
,,,,,
,p2r+p4l,,,,
,,,,,
,p2l+p3r,,,,
,,,,,
,p2l+p4r,,,,
,,,,,
,p2l+p3l,,,,
,,,,,
,p2l+p4l,,,,
,,,,,
,p3r+p4r,,,,
,,,,,
,p3r+p4l,,,,
,,,,,
,p3l+p4r,,,,
,,,,,
,p3l+p4l,,,,
